NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT
Lorena,509.75396447355365,555.0534512593732,538.256883847198,539.1044549003905
Louveira,497.03744924767136,550.117465046986,531.8433918669132,530.7801300578035
MAIRINQUE,485.3580894533407,524.3335542057795,511.5214244576694,518.0869456709542
MAIRIPORA,481.74165813715456,525.742681678608,514.380956733699,506.91946983546615
MARILIA,502.36796332727073,543.2154782673249,527.5809210274471,537.7981166022279
MARTINOPOLIS,471.27674016428887,516.3843493298746,503.7045414069456,507.51487088156716
MATAO,500.34214463840397,533.6267700314431,524.5318186917984,536.3361045663638
MAUA,477.01774546358433,521.6681431767338,512.8706977104359,502.70234118892125
MIRACATU,462.20358919687277,502.30092395167026,496.5689540059347,487.4217729970327
MIRANDOPOLIS,486.87373599344085,523.386827001913,516.6309871003926,520.9526079641055
MIRANTE DO PARANAPANEMA,460.0451127819549,501.8159539473685,488.8006986268369,483.247313900265
MIRASSOL,496.7023640296663,536.1485939431398,524.5447457083267,531.9598106850634
MOCOCA,508.89185286103543,543.2969073569482,528.964742961199,547.7256478498389
MOGI DAS CRUZES,494.22682895688814,535.9787526067157,525.3513270813058,531.413452180837
MOGI GUACU,497.97771947527747,535.4626572485705,524.0273382301503,537.0683105981112
MOGI MIRIM,512.9057774914089,529.6396692439862,538.2968125701459,548.5230751964085
MOJI MIRIM,501.2616761162296,551.3469879518073,522.8863909637456,539.9133175441793
MONGAGUA,475.89107814458845,522.9755536982867,513.9905676855894,500.08456331877727
MONTE ALTO,501.4798682972719,537.3982314205081,527.4732309486781,537.3129082426128
MONTE APRAZIVEL,492.84703076556167,526.0217028380634,513.2476858690301,527.1638601674052
MONTE MOR,478.9467285861713,522.8469969040248,506.84065934065933,509.03135100193924
Mairinque,497.95752605763334,545.0046203649206,532.0870516445899,526.6086086551885
Mairiporã,494.8126253687316,547.7276465243071,533.040754760266,520.0567052092025
Martinópolis,483.6629513343799,524.8382978723405,511.00224146714214,510.92339473684206
Marília,511.5411698852505,553.8560608521467,537.8078527038814,546.1970684406359
Matão,512.7137428478895,553.1208225153183,540.0180192428362,542.1682470639408
Mauá,487.6061876865259,542.795120913712,529.8287100236103,512.5286622924478
Miracatu,473.7717163239614,524.2512330946699,512.0121408336706,502.8460256410256
Mirandópolis,500.0397877297437,544.2265060240964,527.8538189175518,528.135820506131
Mirante do Paranapanema,472.57952772506854,516.801762656282,500.6495966907962,484.92545222387747
Mirassol,508.78922876196,552.6436525612472,534.8673589671624,541.0320614035087
Mococa,514.0737884683409,552.6498298548095,536.6145514722666,552.2975554764448
Mogi Guaçu,512.2872447469666,559.9109946524064,541.5516631791616,547.2460898876404
Mogi Mirim,524.2579255685733,557.5728131617527,545.5302655155563,576.7872157133012
Mogi das Cruzes,500.8483596958551,548.2151722062039,535.7730466877576,536.0731249895995
Moji Mirim,503.76336049452095,570.1265243045799,540.652098907418,520.8322311673376
Mongaguá,483.40156279420074,538.0235781137509,527.4062101620834,509.3441097979413
Monte Alto,515.1576574945691,554.9515993707394,537.8451152966027,550.030579868709
Monte Aprazível,507.13705258506405,544.8577521859671,527.6670530156686,536.5805160142348
Monte Mor,488.68965865142087,538.8036495176849,525.790866320571,517.9404175861483
NAZARE PAULISTA,492.0213457076566,524.799535962877,502.9701711491442,504.4821515892421
NOVA ODESSA,487.9253097345133,532.0542772861357,519.4499180999181,521.8198812448812
NOVO HORIZONTE,498.40597938144333,535.9615022091311,522.774584103512,536.7947627849661
Nova Odessa,502.82009237875286,553.3871482498283,540.0441937163687,539.368284789644
Novo Horizonte,503.5597323600973,542.4000967117988,531.3124926800702,546.0897031729785
OLIMPIA,489.19237446581195,526.0304487179487,513.6114348543156,523.8645959318306
ORLANDIA,492.8508636644047,530.2082048118446,518.1085052094408,523.2467892834361
OSASCO,486.6725305239087,533.8593763186192,521.9493040999413,515.416574438948
OSVALDO CRUZ,490.6564017660044,529.2205849889624,515.4768990929705,528.4092120181406
OURINHOS,489.2879082864039,533.3551086082059,518.5827772693236,524.4229886013811
Olímpia,500.7141007563133,543.2717310549777,528.7652385103997,534.555610007738
Orlândia,500.986889720004,541.9096528861155,526.1752827776138,526.1748470012241
Osasco,496.6071718227425,548.9590128301886,534.1760401068436,523.8949737757645
Osvaldo Cruz,504.4346108629203,548.1559775280899,531.3386621315193,538.1604082601472
Ourinhos,498.8983818770227,545.0015400280005,529.7163266615345,532.3688977688978
PARAGUACU PAULISTA,482.41790450928386,522.5338575217886,507.5668101761252,504.6453228962818
PAULINIA,515.2776271186441,554.1604017576899,532.7523902312289,552.1732008313847
PEDERNEIRAS,490.48306723633914,528.369687429728,519.0917868776176,528.1310376919498
PEDREIRA,493.732369798156,533.3786693246948,522.2562079668909,531.8073460941541
PENAPOLIS,493.3950892857143,531.4616691468254,516.8065080385852,527.492038585209
PEREIRA BARRETO,486.49615082482325,521.9281749148992,510.90237324703344,519.5187432578209
PERUIBE,479.14199649737304,523.4633741973146,510.4788564476886,504.73819951338197
PIEDADE,489.74572168087695,529.2802679658952,515.6230635197212,523.7360050689055
PILAR DO SUL,474.04203423304807,515.1127057274523,506.0259717922257,521.4656346749226
PINDAMONHANGABA,496.5008243320068,539.5233584422967,525.7010873558152,532.6514951142458
PIRACICABA,507.6017975449386,547.5110627765694,533.7659975747569,547.017779096468
PIRAJU,487.2513490843003,529.1894869285615,518.482382133995,524.7375857539046
PIRAJUI,483.7319590731267,526.184832982245,516.227478314746,515.0895600991327
PIRASSUNUNGA,510.60562007465785,547.9868311903774,532.9905468750001,549.1222869318182
PITANGUEIRAS,480.5522184300341,514.3712522971908,505.1149261891744,516.9575997813013
POA,474.0777305238739,521.0811005863779,512.1918287412209,500.22608049702865
PONTAL,474.03028603477287,514.3885866517106,498.75182608695656,499.5722898550724
PORTO FELIZ,483.6779350541215,525.3091382181516,513.0815162770374,515.5099191610225
PORTO FERREIRA,499.49223396632027,536.5455302758868,525.7436333394936,539.3568656440584
POTIM,484.76745098039214,526.1192156862745,508.68530612244894,495.5804081632653
PRAIA GRANDE,477.25762446780783,523.0194760622122,513.7234287266799,503.00168900561494
PRESIDENTE EPITACIO,469.3166826462128,511.9894534995206,501.96549043062197,497.03153907496016
PRESIDENTE PRUDENTE,487.76903324951104,531.4330930427493,515.4943779698862,518.0692734871471
PRESIDENTE VENCESLAU,483.44498810737343,524.1460754332313,511.7588799720865,519.050052337753
PROMISSAO,477.48625603309586,512.5349574810389,505.19358851674644,503.33686602870813
Paraguaçu Paulista,492.95861269614835,541.6174054982818,524.430757234448,517.9361036157582
Paulínia,523.6109443348486,564.8288868673503,546.5889667835086,559.4087107108841
Pederneiras,504.2685403050109,548.4872309299896,533.371687763713,533.5942794279428
Pedreira,496.83105449041375,546.3642248722317,532.3612586037365,529.8675758348203
Penápolis,502.84144590245114,549.5581434196397,530.2439357332689,530.820539184953
Pereira Barreto,495.1110819327731,535.7566152289401,521.0189395870508,519.1066966649021
Peruíbe,488.8345622119815,538.1510094727778,525.093622992065,511.50174353775975
Piedade,497.589229311434,548.9255859969559,533.2191126803807,528.130815806246
Pilar do Sul,492.8409192546584,540.6979216435739,524.8333413635269,533.8294987468672
Pindamonhangaba,506.6456274509804,555.8371668032012,539.923252414845,541.3771477549944
Piracicaba,518.1423867143089,564.5526204548123,546.9432761439518,555.2686561062851
Piraju,496.24704523346304,545.9143472189901,530.1539373312992,533.2350877192982
Pirajuí,490.978898007034,535.316501836677,522.1463888095918,513.4788507109005
Pirassununga,519.7094721514379,562.5287383177571,544.5947717546362,554.3038881960238
Pitangueiras,486.3220492866407,530.755850931677,516.2924628182506,515.4982617856202
Pontal,480.8675147928994,524.3697705291105,509.0753739930955,502.15647575334265
Porto Feliz,494.2049902629017,545.9219410262364,530.6340530391927,524.619423929099
Porto Ferreira,514.3343199170515,557.7643169797556,539.9404792508263,549.55543426673
Poá,484.8300911854103,539.6715048082003,528.0337217382009,511.2486296006265
Praia Grande,490.9115773034878,543.3446692812181,531.5565335994678,515.4029756063367
Presidente Epitácio,484.2487526846192,529.924479333547,518.9865105008078,508.57435427428766
Presidente Prudente,493.99003529132307,537.1634290040156,523.1947065345092,519.3539372429915
Presidente Venceslau,488.65269290891007,534.8216365392576,519.7937899416505,518.2124356038923
Promissão,489.4794706900816,536.5678885979529,519.887852494577,510.1095715359559
RANCHARIA,479.46419178636455,520.2075662553106,505.7721791919615,501.96215197822903
REGINOPOLIS,483.0648780487805,507.8868292682927,497.82871794871795,485.22666666666663
REGISTRO,479.39476704929103,518.9379338284942,509.2483141331835,511.589484405732
RIBEIRAO DO SUL,486.6873873873874,517.2396396396397,491.6834123222749,483.0094786729858
RIBEIRAO PIRES,490.66555297102985,532.8108620568125,522.3059375682166,519.8307574765334
RIBEIRAO PRETO,517.1539235531565,554.6466706914308,539.7740775053942,554.1970658149769
RIO CLARO,504.7846595794575,543.6559759243337,530.6397054647247,543.3963690210556
RIO GRANDE DA SERRA,467.7398878827081,513.6847563605002,501.87562683532866,491.23044951434383
ROSANA,461.5646165155599,499.45966674834597,486.44029359655786,481.67737281700835
Rancharia,488.5681908548708,532.184157626037,515.7092035398231,503.7928129700819
Registro,492.41547015080965,541.2440696046403,526.7950030345944,524.9874745059428
Ribeirão Pires,499.2561324857812,550.160930533118,536.0901673503939,528.7578067039859
Ribeirão Preto,523.5151153749159,564.9371087444288,547.1950285965684,558.6359527592416
Rio Claro,513.2219887399889,560.3715732742145,542.1165417889696,548.437111253607
Rio Grande da Serra,478.19429429429425,532.6676767676768,520.6668470343393,499.08128249566727
Rosana,475.4925117370892,520.8717118759973,503.0627266467753,490.68186761229316
SALTO,487.31270101483216,528.3048009367682,515.4752997797536,519.6671261930011
SALTO DE PIRAPORA,483.60455366823277,522.5976328153234,511.0138382687927,510.49269172361426
SANTA BARBARA D OESTE,488.8965716392234,542.6971491767019,514.6540933822599,523.7710236619006
SANTA BARBARA D'OESTE,492.36100224382943,512.7434255796559,520.5539900249377,525.2555642144639
SANTA CRUZ DO RIO PARDO,495.59568288854,533.9119937205651,520.3998690885289,530.8597119947635
SANTA FE DO SUL,485.2759602649006,538.09,511.2396032831738,515.4309165526676
SANTA ISABEL,478.58637290261873,522.7469656578328,511.73286423841057,503.0196523178808
SANTA ROSA DE VITERBO,494.72907949790795,556.1024058577406,518.9390692640693,489.66590909090905
SANTANA DE PARNAIBA,486.6913676704847,529.6398316013048,513.7644320151253,519.2858279502127
SANTO ANASTACIO,490.7824528301887,517.7230188679246,506.0217564870259,505.7193612774451
SANTO ANDRE,498.97435139937807,542.2915981785873,530.369475581145,535.6851832122496
SANTO ANTONIO DE POSSE,495.13685446009384,524.6856807511738,513.1645885286783,512.6164588528678
SANTOS,510.88661406025824,553.592513151602,542.3161502557227,552.1487362828343
SAO BERNARDO DO CAMPO,495.7247959707131,539.7382397519003,528.1481968033157,532.4950965913151
SAO CAETANO DO SUL,513.8694975748147,555.495360117141,543.6119023685368,559.6526575359678
SAO CARLOS,518.0266144690191,556.4702705554618,541.7141015083217,558.3460124826629
SAO JOAO DA BOA VISTA,507.5137761046877,545.3309939948015,528.8247331615753,546.1620997423629
SAO JOAQUIM DA BARRA,490.6959314495029,529.7187205651492,515.8573652856757,521.4671946926618
SAO JOSE DO RIO PARDO,508.21788659139924,542.1270328555119,531.0232724902216,544.5904693611474
SAO JOSE DO RIO PRETO,515.4889651683769,551.3251065905478,536.771929889987,554.3812586239045
SAO JOSE DOS CAMPOS,514.2512746733545,555.4884198976679,537.8097273789283,559.3398209514556
SAO MANUEL,494.800586366968,529.5036159296359,518.1944415718718,523.9108841778697
SAO MIGUEL ARCANJO,480.08280778722235,521.0778722237455,509.03925287356327,515.3006609195403
SAO PAULO,499.6434348092807,546.0350578401946,532.3111891791402,532.9827906190671
SAO ROQUE,496.6516244057052,536.1757626782884,522.3477721492815,528.7652124470175
SAO SEBASTIAO,476.60633048501626,521.2223372246962,509.355040701315,501.2255604257984
SAO VICENTE,476.8714089321543,524.911919447128,515.4698938940495,504.11067278168605
SERRA AZUL,492.43509615384613,525.7764423076923,508.91243523316064,485.22279792746116
SERRANA,477.75089680875845,520.4947356161192,506.2964207980653,506.9493107617896
SERTAOZINHO,497.4239948645179,534.6252044057031,520.2520169252468,536.1768406205923
SOCORRO,495.69561603989195,536.7869520049865,523.2186960276339,528.8156951640759
SOROCABA,497.787645070652,540.7384561089166,527.0362472598505,533.1808217638131
SUMARE,482.368635683606,526.8580956517543,513.4565009800473,513.954867567975
SUZANO,479.1869341172402,523.4088881203528,513.9038205561751,509.71632550275206
Salto,499.86262752968724,549.0394328861756,535.508382018825,532.264244063213
Salto de Pirapora,492.12743690165365,542.1876718034152,527.138266384778,516.2431034482759
Santa Bárbara d'Oeste,507.96148428232505,555.8747829207032,540.0992338272498,542.2406483417986
Santa Cruz do Rio Pardo,502.5624488644379,551.4902921771913,534.6308677291922,537.2872768813365
Santa Fé do Sul,507.0994933333334,541.8379195490648,528.9878560331434,541.523240765705
Santa Isabel,484.96344660812014,535.9390264731,525.1343165200149,509.4696467848363
Santa Rosa de Viterbo,494.9658344042592,537.4780661215784,521.3747009462596,514.3897454813722
Santana de Parnaíba,504.76672231231515,549.0707493256526,535.0600570350949,544.8324181626188
Santo André,507.45565171169324,557.489240249004,542.1964771984606,542.4443946776612
Santos,516.302375493173,565.4750475888325,550.7271874750061,554.3856952345232
Serrana,487.99629082856615,535.6020874219447,520.7288028802881,510.1403427081393
Sertãozinho,507.6697626061341,550.233544268665,534.0142969231631,539.1296657137856
Socorro,501.1770841643398,551.255117352828,532.7946601941748,534.1820781312929
Sorocaba,507.7422165542208,558.1148223441983,542.1113127171252,541.9723043720577
Sumaré,492.25755030033184,543.2159038763434,530.2896457876351,520.939025527945
Suzano,489.1124577680056,540.0623205526592,528.441706849173,515.6896531181457
São Bernardo do Campo,504.7675298938278,556.2168703546204,541.2729121190447,540.5325001443168
São Caetano do Sul,521.1395719701602,569.2256719731683,552.6014600970228,567.0091726397202
São Carlos,523.1798434126359,567.2931729034283,548.8060972960161,561.3850928899549
São Joaquim da Barra,497.9515074464221,541.8825562324274,526.9742691442774,525.9988619676946
São José do Rio Pardo,516.137452694767,560.3231169160537,541.3806290755658,552.9551329297183
São José do Rio Preto,525.1893616698293,564.5119282812636,546.0435687885614,562.6259456481821
São José dos Campos,525.4177112362883,571.4471737901023,551.101542550621,572.2215134359302
São João da Boa Vista,519.0068612774451,561.5500240307593,542.5927307971892,559.3995134636356
São Manuel,508.91214019972585,553.0890043453618,533.9996007604562,534.8714426487978
São Miguel Arcanjo,493.50231913284597,546.1728419010669,529.7932174338883,527.7225362872422
São Paulo,506.06924755106553,556.8590082880263,541.1937162337653,538.8206884092708
São Roque,505.9346862116353,552.2905072208524,535.2902054977316,534.6346666666667
São Sebastião,487.0991995731057,538.086748216106,525.0590646280355,505.64272641636387
São Vicente,487.7462797805971,542.2236016263372,530.1603900255755,509.0964494782387
TABOAO DA SERRA,476.8918322463219,526.0024773749936,513.841838634397,498.9882371450297
TAPIRATIBA,486.405269761606,524.7756900878293,512.5598448108633,517.4548011639185
TAQUARITINGA,495.14325777948517,531.6280637725702,520.3422977539257,528.4151262174518
TATUI,489.25980054264136,525.5449292366357,516.3211867015546,520.8836232107126
TAUBATE,508.44039266637793,549.3460480727588,532.4607222802566,548.0235263393523
TIETE,495.0913364779874,534.0508962264151,518.7677140996418,528.0634972321719
TREMEMBE,515.0566079295154,554.4539647577093,534.8268348623853,531.9075688073394
TUPA,484.96099726130893,525.2461327792993,513.29258933802,516.5668424135911
TUPI PAULISTA,505.5161953727506,532.4251928020566,510.17119565217394,512.9771739130435
Taboão da Serra,488.62196441169556,543.933138893563,529.9767831561487,511.79848397999723
Tapiratiba,490.4171437090042,538.8221356421357,519.3020069808028,517.187646528404
Taquaritinga,506.7719911147011,547.8971206225681,533.2977468652037,534.0290683482506
Tatuí,499.0866161052867,545.766518549866,532.045776858325,529.7251185190759
Taubaté,516.1559458901888,564.8892898719441,545.7975609756097,554.0054898347402
Teodoro Sampaio,473.2618512573569,516.8576417004049,511.50435222672064,512.4522204387373
Tietê,503.3720874130836,545.5138165962666,529.4319476944254,534.5233615373584
Tupã,499.82625348859585,546.6978103544257,530.1005809050876,528.7919210577484
UBATUBA,478.46318860092003,523.565735442612,511.94973532525586,500.34524173626636
Ubatuba,492.00523458704924,544.579727740986,530.2460246360582,518.2565879265092
VALINHOS,527.2426177756192,562.8068884571799,546.2987534280728,575.2778359511344
VARGEM GRANDE DO SUL,494.8892912894161,530.3973150171714,516.0540218790219,525.8747425997426
VARGEM GRANDE PAULISTA,482.9876370711001,525.4173505482844,512.7606842297841,508.45751920965967
VARZEA PAULISTA,477.6720564566052,521.337204407577,509.57558019597735,508.7588705518308
VINHEDO,523.4345607147692,559.0740760795993,541.822791864029,567.1325438840903
VOTORANTIM,484.42417723846296,528.7976650119507,517.2123775686576,518.8006529671596
VOTUPORANGA,489.5073650066781,524.5590154550658,514.5713975665899,525.1543965800723
Valinhos,536.6022598870056,579.0880406091371,559.4770819135887,585.5304369204832
Vargem Grande Paulista,499.1011308784995,546.5474943204597,532.2566882416397,529.7283129175947
Vargem Grande do Sul,503.3310324483776,547.5403389830509,529.0478410065771,533.3553032566477
Vinhedo,531.008194761439,571.8329275970619,554.1940741523185,575.6018384766907
Votorantim,497.0336245389245,549.9298703720974,536.8549915238275,528.0708443659901
Votuporanga,504.7400036516341,544.6104213120526,529.1514175791654,539.5167894866127
Várzea Paulista,485.5994963552021,541.1735130346747,526.8379823099602,512.2228237506718
